Frequency (GHz)	DB(|S(2,1)|) : demo 1
5.75422	-0.01283
5.75423	-0.0128372
5.75423	-0.0128443
5.75423	-0.0128514
5.75423	-0.0128586
5.75423	-0.0128657
5.75423	-0.0128729
5.75423	-0.0128801
5.75423	-0.0128872
5.75423	-0.0128944
5.75424	-0.0129016
5.75424	-0.0129088
5.75424	-0.012916
5.75424	-0.0129232
5.75424	-0.0129304
5.75424	-0.0129376
5.75424	-0.0129449
5.75424	-0.0129521
5.75424	-0.0129593
5.75424	-0.0129666
5.75424	-0.0129738
5.75425	-0.0129811
5.75425	-0.0129883
5.75425	-0.0129956
5.75425	-0.0130029
5.75425	-0.0130102
5.75425	-0.0130175
5.75425	-0.0130248
5.75425	-0.0130321
5.75425	-0.0130394
5.75425	-0.0130467
5.75426	-0.0130541
5.75426	-0.0130614
5.75426	-0.0130687
5.75426	-0.0130761
5.75426	-0.0130834
5.75426	-0.0130908
5.75426	-0.0130982
5.75426	-0.0131055
5.75426	-0.0131129
5.75426	-0.0131203
5.75427	-0.0131277
5.75427	-0.0131351
5.75427	-0.0131425
5.75427	-0.0131499
5.75427	-0.0131574
5.75427	-0.0131648
5.75427	-0.0131722
5.75427	-0.0131797
5.75427	-0.0131871
5.75427	-0.0131946
5.75428	-0.0132021
5.75428	-0.0132095
5.75428	-0.013217
5.75428	-0.0132245
5.75428	-0.013232
5.75428	-0.0132395
5.75428	-0.013247
5.75428	-0.0132545
5.75428	-0.013262
5.75428	-0.0132696
5.75429	-0.0132771
5.75429	-0.0132847
5.75429	-0.0132922
5.75429	-0.0132998
5.75429	-0.0133073
5.75429	-0.0133149
5.75429	-0.0133225
5.75429	-0.0133301
5.75429	-0.0133377
5.75429	-0.0133453
5.7543	-0.0133529
5.7543	-0.0133605
5.7543	-0.0133681
5.7543	-0.0133757
5.7543	-0.0133834
5.7543	-0.013391
5.7543	-0.0133987
5.7543	-0.0134063
5.7543	-0.013414
5.7543	-0.0134217
5.75431	-0.0134294
5.75431	-0.0134371
5.75431	-0.0134447
5.75431	-0.0134525
5.75431	-0.0134602
5.75431	-0.0134679
5.75431	-0.0134756
5.75431	-0.0134833
5.75431	-0.0134911
5.75431	-0.0134988
5.75432	-0.0135066
5.75432	-0.0135143
5.75432	-0.0135221
5.75432	-0.0135299
5.75432	-0.0135377
5.75432	-0.0135455
5.75432	-0.0135533
5.75432	-0.0135611
5.75432	-0.0135689
5.75432	-0.0135767
5.75433	-0.0135845
5.75433	-0.0135924
5.75433	-0.0136002
5.75433	-0.0136081
5.75433	-0.0136159
5.75433	-0.0136238
5.75433	-0.0136317
5.75433	-0.0136395
5.75433	-0.0136474
5.75433	-0.0136553
5.75434	-0.0136632
5.75434	-0.0136711
5.75434	-0.0136791
5.75434	-0.013687
5.75434	-0.0136949
5.75434	-0.0137029
5.75434	-0.0137108
5.75434	-0.0137188
5.75434	-0.0137267
5.75434	-0.0137347
5.75435	-0.0137427
5.75435	-0.0137507
5.75435	-0.0137587
5.75435	-0.0137667
5.75435	-0.0137747
5.75435	-0.0137827
5.75435	-0.0137907
5.75435	-0.0137988
5.75435	-0.0138068
5.75435	-0.0138149
5.75436	-0.0138229
5.75436	-0.013831
5.75436	-0.0138391
5.75436	-0.0138471
5.75436	-0.0138552
5.75436	-0.0138633
5.75436	-0.0138714
5.75436	-0.0138795
5.75436	-0.0138877
5.75436	-0.0138958
5.75437	-0.0139039
5.75437	-0.0139121
5.75437	-0.0139202
5.75437	-0.0139284
5.75437	-0.0139366
5.75437	-0.0139447
5.75437	-0.0139529
5.75437	-0.0139611
5.75437	-0.0139693
5.75437	-0.0139775
5.75438	-0.0139857
5.75438	-0.013994
5.75438	-0.0140022
5.75438	-0.0140104
5.75438	-0.0140187
5.75438	-0.0140269
5.75438	-0.0140352
5.75438	-0.0140435
5.75438	-0.0140517
5.75438	-0.01406
5.75439	-0.0140683
5.75439	-0.0140766
5.75439	-0.0140849
5.75439	-0.0140933
5.75439	-0.0141016
5.75439	-0.0141099
5.75439	-0.0141183
5.75439	-0.0141266
5.75439	-0.014135
5.75439	-0.0141434
5.7544	-0.0141517
5.7544	-0.0141601
5.7544	-0.0141685
5.7544	-0.0141769
5.7544	-0.0141853
5.7544	-0.0141937
5.7544	-0.0142022
5.7544	-0.0142106
5.7544	-0.0142191
5.7544	-0.0142275
5.75441	-0.014236
5.75441	-0.0142444
5.75441	-0.0142529
5.75441	-0.0142614
5.75441	-0.0142699
5.75441	-0.0142784
5.75441	-0.0142869
5.75441	-0.0142954
5.75441	-0.0143039
5.75441	-0.0143125
5.75442	-0.014321
5.75442	-0.0143296
5.75442	-0.0143381
5.75442	-0.0143467
5.75442	-0.0143553
5.75442	-0.0143639
5.75442	-0.0143725
5.75442	-0.0143811
5.75442	-0.0143897
5.75442	-0.0143983
5.75443	-0.0144069
5.75443	-0.0144156
5.75443	-0.0144242
5.75443	-0.0144329
5.75443	-0.0144415
5.75443	-0.0144502
5.75443	-0.0144589
5.75443	-0.0144676
5.75443	-0.0144763
5.75443	-0.014485
5.75444	-0.0144937
5.75444	-0.0145024
5.75444	-0.0145112
5.75444	-0.0145199
5.75444	-0.0145286
5.75444	-0.0145374
5.75444	-0.0145462
5.75444	-0.0145549
5.75444	-0.0145637
5.75444	-0.0145725
5.75445	-0.0145813
5.75445	-0.0145901
5.75445	-0.014599
5.75445	-0.0146078
5.75445	-0.0146166
5.75445	-0.0146255
5.75445	-0.0146343
5.75445	-0.0146432
5.75445	-0.0146521
5.75445	-0.0146609
5.75446	-0.0146698
5.75446	-0.0146787
5.75446	-0.0146876
5.75446	-0.0146966
5.75446	-0.0147055
5.75446	-0.0147144
5.75446	-0.0147234
5.75446	-0.0147323
5.75446	-0.0147413
5.75446	-0.0147502
5.75447	-0.0147592
5.75447	-0.0147682
5.75447	-0.0147772
5.75447	-0.0147862
5.75447	-0.0147952
5.75447	-0.0148043
5.75447	-0.0148133
5.75447	-0.0148223
5.75447	-0.0148314
5.75447	-0.0148405
5.75448	-0.0148495
5.75448	-0.0148586
5.75448	-0.0148677
5.75448	-0.0148768
5.75448	-0.0148859
5.75448	-0.014895
5.75448	-0.0149041
5.75448	-0.0149133
5.75448	-0.0149224
5.75448	-0.0149316
5.75449	-0.0149407
5.75449	-0.0149499
5.75449	-0.0149591
5.75449	-0.0149683
5.75449	-0.0149775
5.75449	-0.0149867
5.75449	-0.0149959
5.75449	-0.0150051
5.75449	-0.0150144
5.75449	-0.0150236
5.7545	-0.0150329
5.7545	-0.0150422
5.7545	-0.0150514
5.7545	-0.0150607
5.7545	-0.01507
5.7545	-0.0150793
5.7545	-0.0150886
5.7545	-0.015098
5.7545	-0.0151073
5.7545	-0.0151166
5.75451	-0.015126
5.75451	-0.0151353
5.75451	-0.0151447
5.75451	-0.0151541
5.75451	-0.0151635
5.75451	-0.0151729
5.75451	-0.0151823
5.75451	-0.0151917
5.75451	-0.0152011
5.75451	-0.0152106
5.75452	-0.01522
5.75452	-0.0152295
5.75452	-0.0152389
5.75452	-0.0152484
5.75452	-0.0152579
5.75452	-0.0152674
5.75452	-0.0152769
5.75452	-0.0152864
5.75452	-0.0152959
5.75452	-0.0153055
5.75453	-0.015315
5.75453	-0.0153246
5.75453	-0.0153341
5.75453	-0.0153437
5.75453	-0.0153533
5.75453	-0.0153629
5.75453	-0.0153725
5.75453	-0.0153821
5.75453	-0.0153917
5.75453	-0.0154014
5.75454	-0.015411
5.75454	-0.0154207
5.75454	-0.0154303
5.75454	-0.01544
5.75454	-0.0154497
5.75454	-0.0154594
5.75454	-0.0154691
5.75454	-0.0154788
5.75454	-0.0154885
5.75454	-0.0154983
5.75455	-0.015508
5.75455	-0.0155178
5.75455	-0.0155275
5.75455	-0.0155373
5.75455	-0.0155471
5.75455	-0.0155569
5.75455	-0.0155667
5.75455	-0.0155765
5.75455	-0.0155863
5.75455	-0.0155961
5.75456	-0.015606
5.75456	-0.0156158
5.75456	-0.0156257
5.75456	-0.0156356
5.75456	-0.0156455
5.75456	-0.0156554
5.75456	-0.0156653
5.75456	-0.0156752
5.75456	-0.0156851
5.75456	-0.0156951
5.75457	-0.015705
5.75457	-0.015715
5.75457	-0.0157249
5.75457	-0.0157349
5.75457	-0.0157449
5.75457	-0.0157549
5.75457	-0.0157649
5.75457	-0.0157749
5.75457	-0.015785
5.75457	-0.015795
5.75458	-0.0158051
5.75458	-0.0158151
5.75458	-0.0158252
5.75458	-0.0158353
5.75458	-0.0158454
5.75458	-0.0158555
5.75458	-0.0158656
5.75458	-0.0158757
5.75458	-0.0158859
5.75458	-0.015896
5.75459	-0.0159062
5.75459	-0.0159163
5.75459	-0.0159265
5.75459	-0.0159367
5.75459	-0.0159469
5.75459	-0.0159571
5.75459	-0.0159674
5.75459	-0.0159776
5.75459	-0.0159878
5.75459	-0.0159981
5.7546	-0.0160084
5.7546	-0.0160186
5.7546	-0.0160289
5.7546	-0.0160392
5.7546	-0.0160495
5.7546	-0.0160598
5.7546	-0.0160702
5.7546	-0.0160805
5.7546	-0.0160909
5.7546	-0.0161012
5.75461	-0.0161116
5.75461	-0.016122
5.75461	-0.0161324
5.75461	-0.0161428
5.75461	-0.0161532
5.75461	-0.0161637
5.75461	-0.0161741
5.75461	-0.0161845
5.75461	-0.016195
5.75461	-0.0162055
5.75462	-0.016216
5.75462	-0.0162265
5.75462	-0.016237
5.75462	-0.0162475
5.75462	-0.016258
5.75462	-0.0162686
5.75462	-0.0162791
5.75462	-0.0162897
5.75462	-0.0163003
5.75462	-0.0163109
5.75463	-0.0163214
5.75463	-0.0163321
5.75463	-0.0163427
5.75463	-0.0163533
5.75463	-0.016364
5.75463	-0.0163746
5.75463	-0.0163853
5.75463	-0.016396
5.75463	-0.0164066
5.75463	-0.0164173
5.75464	-0.0164281
5.75464	-0.0164388
5.75464	-0.0164495
5.75464	-0.0164603
5.75464	-0.016471
5.75464	-0.0164818
5.75464	-0.0164926
5.75464	-0.0165034
5.75464	-0.0165142
5.75464	-0.016525
5.75465	-0.0165358
5.75465	-0.0165467
5.75465	-0.0165575
5.75465	-0.0165684
5.75465	-0.0165792
5.75465	-0.0165901
5.75465	-0.016601
5.75465	-0.0166119
5.75465	-0.0166229
5.75465	-0.0166338
5.75466	-0.0166447
5.75466	-0.0166557
5.75466	-0.0166667
5.75466	-0.0166776
5.75466	-0.0166886
5.75466	-0.0166996
5.75466	-0.0167107
5.75466	-0.0167217
5.75466	-0.0167327
5.75466	-0.0167438
5.75467	-0.0167548
5.75467	-0.0167659
5.75467	-0.016777
5.75467	-0.0167881
5.75467	-0.0167992
5.75467	-0.0168103
5.75467	-0.0168215
5.75467	-0.0168326
5.75467	-0.0168438
5.75467	-0.016855
5.75468	-0.0168661
5.75468	-0.0168773
5.75468	-0.0168885
5.75468	-0.0168998
5.75468	-0.016911
5.75468	-0.0169223
5.75468	-0.0169335
5.75468	-0.0169448
5.75468	-0.0169561
5.75468	-0.0169674
5.75469	-0.0169787
5.75469	-0.01699
5.75469	-0.0170013
5.75469	-0.0170127
5.75469	-0.017024
5.75469	-0.0170354
5.75469	-0.0170468
5.75469	-0.0170582
5.75469	-0.0170696
5.75469	-0.017081
5.7547	-0.0170924
5.7547	-0.0171039
5.7547	-0.0171153
5.7547	-0.0171268
5.7547	-0.0171383
5.7547	-0.0171498
5.7547	-0.0171613
5.7547	-0.0171728
5.7547	-0.0171843
5.7547	-0.0171959
5.75471	-0.0172074
5.75471	-0.017219
5.75471	-0.0172306
5.75471	-0.0172422
5.75471	-0.0172538
5.75471	-0.0172654
5.75471	-0.0172771
5.75471	-0.0172887
5.75471	-0.0173004
5.75471	-0.017312
5.75472	-0.0173237
5.75472	-0.0173354
5.75472	-0.0173471
5.75472	-0.0173589
5.75472	-0.0173706
5.75472	-0.0173823
5.75472	-0.0173941
5.75472	-0.0174059
5.75472	-0.0174177
5.75472	-0.0174295
5.75473	-0.0174413
5.75473	-0.0174531
5.75473	-0.017465
5.75473	-0.0174768
5.75473	-0.0174887
5.75473	-0.0175006
5.75473	-0.0175125
5.75473	-0.0175244
5.75473	-0.0175363
5.75473	-0.0175482
5.75474	-0.0175602
5.75474	-0.0175722
5.75474	-0.0175841
5.75474	-0.0175961
5.75474	-0.0176081
5.75474	-0.0176201
5.75474	-0.0176322
5.75474	-0.0176442
5.75474	-0.0176563
5.75474	-0.0176683
5.75475	-0.0176804
5.75475	-0.0176925
5.75475	-0.0177046
5.75475	-0.0177167
5.75475	-0.0177289
5.75475	-0.017741
5.75475	-0.0177532
5.75475	-0.0177654
5.75475	-0.0177776
5.75475	-0.0177898
5.75476	-0.017802
5.75476	-0.0178142
5.75476	-0.0178265
5.75476	-0.0178387
5.75476	-0.017851
5.75476	-0.0178633
5.75476	-0.0178756
5.75476	-0.0178879
5.75476	-0.0179002
5.75476	-0.0179126
5.75477	-0.0179249
5.75477	-0.0179373
5.75477	-0.0179497
5.75477	-0.0179621
5.75477	-0.0179745
5.75477	-0.0179869
5.75477	-0.0179994
5.75477	-0.0180118
5.75477	-0.0180243
5.75478	-0.0180368
5.75478	-0.0180493
5.75478	-0.0180618
5.75478	-0.0180743
5.75478	-0.0180869
5.75478	-0.0180994
5.75478	-0.018112
5.75478	-0.0181246
5.75478	-0.0181372
5.75478	-0.0181498
5.75478	-0.0181624
5.75479	-0.0181751
5.75479	-0.0181877
5.75479	-0.0182004
5.75479	-0.0182131
5.75479	-0.0182258
5.75479	-0.0182385
5.75479	-0.0182512
5.75479	-0.0182639
5.75479	-0.0182767
5.75479	-0.0182895
5.7548	-0.0183023
5.7548	-0.0183151
5.7548	-0.0183279
5.7548	-0.0183407
5.7548	-0.0183535
5.7548	-0.0183664
5.7548	-0.0183793
5.7548	-0.0183922
5.7548	-0.0184051
5.7548	-0.018418
5.75481	-0.0184309
5.75481	-0.0184439
5.75481	-0.0184568
5.75481	-0.0184698
5.75481	-0.0184828
5.75481	-0.0184958
5.75481	-0.0185088
5.75481	-0.0185219
5.75481	-0.0185349
5.75481	-0.018548
5.75482	-0.0185611
5.75482	-0.0185742
5.75482	-0.0185873
5.75482	-0.0186004
5.75482	-0.0186135
5.75482	-0.0186267
5.75482	-0.0186399
5.75482	-0.0186531
5.75482	-0.0186663
5.75482	-0.0186795
5.75483	-0.0186927
5.75483	-0.018706
5.75483	-0.0187192
5.75483	-0.0187325
5.75483	-0.0187458
5.75483	-0.0187591
5.75483	-0.0187724
5.75483	-0.0187858
5.75483	-0.0187991
5.75483	-0.0188125
5.75484	-0.0188259
5.75484	-0.0188393
5.75484	-0.0188527
5.75484	-0.0188662
5.75484	-0.0188796
5.75484	-0.0188931
5.75484	-0.0189065
5.75484	-0.01892
5.75484	-0.0189336
5.75485	-0.0189471
5.75485	-0.0189606
5.75485	-0.0189742
5.75485	-0.0189878
5.75485	-0.0190014
5.75485	-0.019015
5.75485	-0.0190286
5.75485	-0.0190422
5.75485	-0.0190559
5.75485	-0.0190696
5.75485	-0.0190832
5.75486	-0.019097
5.75486	-0.0191107
5.75486	-0.0191244
5.75486	-0.0191382
5.75486	-0.0191519
5.75486	-0.0191657
5.75486	-0.0191795
5.75486	-0.0191933
5.75486	-0.0192072
5.75486	-0.019221
5.75487	-0.0192349
5.75487	-0.0192488
5.75487	-0.0192627
5.75487	-0.0192766
5.75487	-0.0192905
5.75487	-0.0193044
5.75487	-0.0193184
5.75487	-0.0193324
5.75487	-0.0193464
5.75487	-0.0193604
5.75488	-0.0193744
5.75488	-0.0193885
5.75488	-0.0194025
5.75488	-0.0194166
5.75488	-0.0194307
5.75488	-0.0194448
5.75488	-0.019459
5.75488	-0.0194731
5.75488	-0.0194873
5.75488	-0.0195014
5.75489	-0.0195156
5.75489	-0.0195299
5.75489	-0.0195441
5.75489	-0.0195583
5.75489	-0.0195726
5.75489	-0.0195869
5.75489	-0.0196012
5.75489	-0.0196155
5.75489	-0.0196298
5.75489	-0.0196442
5.7549	-0.0196585
5.7549	-0.0196729
5.7549	-0.0196873
5.7549	-0.0197017
5.7549	-0.0197162
5.7549	-0.0197306
5.7549	-0.0197451
5.7549	-0.0197596
5.7549	-0.0197741
5.7549	-0.0197886
5.75491	-0.0198032
5.75491	-0.0198177
5.75491	-0.0198323
5.75491	-0.0198469
5.75491	-0.0198615
5.75491	-0.0198761
5.75491	-0.0198908
5.75491	-0.0199054
5.75491	-0.0199201
5.75491	-0.0199348
5.75492	-0.0199495
5.75492	-0.0199642
5.75492	-0.019979
5.75492	-0.0199938
5.75492	-0.0200085
5.75492	-0.0200233
5.75492	-0.0200382
5.75492	-0.020053
5.75492	-0.0200679
5.75492	-0.0200827
5.75493	-0.0200976
5.75493	-0.0201125
5.75493	-0.0201275
5.75493	-0.0201424
5.75493	-0.0201574
5.75493	-0.0201724
5.75493	-0.0201874
5.75493	-0.0202024
5.75493	-0.0202174
5.75493	-0.0202325
5.75494	-0.0202475
5.75494	-0.0202626
5.75494	-0.0202777
5.75494	-0.0202929
5.75494	-0.020308
5.75494	-0.0203232
5.75494	-0.0203384
5.75494	-0.0203536
5.75494	-0.0203688
5.75494	-0.020384
5.75495	-0.0203993
5.75495	-0.0204146
5.75495	-0.0204298
5.75495	-0.0204452
5.75495	-0.0204605
5.75495	-0.0204758
5.75495	-0.0204912
5.75495	-0.0205066
5.75495	-0.020522
5.75495	-0.0205374
5.75496	-0.0205529
5.75496	-0.0205683
5.75496	-0.0205838
5.75496	-0.0205993
5.75496	-0.0206148
5.75496	-0.0206304
5.75496	-0.0206459
5.75496	-0.0206615
5.75496	-0.0206771
5.75496	-0.0206927
5.75497	-0.0207084
5.75497	-0.020724
5.75497	-0.0207397
5.75497	-0.0207554
5.75497	-0.0207711
5.75497	-0.0207868
5.75497	-0.0208026
5.75497	-0.0208184
5.75497	-0.0208341
5.75497	-0.02085
5.75498	-0.0208658
5.75498	-0.0208816
5.75498	-0.0208975
5.75498	-0.0209134
5.75498	-0.0209293
5.75498	-0.0209452
5.75498	-0.0209612
5.75498	-0.0209771
5.75498	-0.0209931
5.75498	-0.0210091
5.75499	-0.0210251
5.75499	-0.0210412
5.75499	-0.0210573
5.75499	-0.0210733
5.75499	-0.0210894
5.75499	-0.0211056
5.75499	-0.0211217
5.75499	-0.0211379
5.75499	-0.0211541
5.75499	-0.0211703
5.755	-0.0211865
5.755	-0.0212027
5.755	-0.021219
5.755	-0.0212353
5.755	-0.0212516
5.755	-0.0212679
5.755	-0.0212843
5.755	-0.0213007
5.755	-0.0213171
5.755	-0.0213335
5.75501	-0.02135
5.75501	-0.0213664
5.75501	-0.0213829
5.75501	-0.0213994
5.75501	-0.0214159
5.75501	-0.0214325
5.75501	-0.0214491
5.75501	-0.0214656
5.75501	-0.0214823
5.75501	-0.0214989
5.75502	-0.0215155
5.75502	-0.0215322
5.75502	-0.0215489
5.75502	-0.0215656
5.75502	-0.0215824
5.75502	-0.0215991
5.75502	-0.0216159
5.75502	-0.0216327
5.75502	-0.0216495
5.75502	-0.0216663
5.75503	-0.0216832
5.75503	-0.0217001
5.75503	-0.021717
5.75503	-0.0217339
5.75503	-0.0217509
5.75503	-0.0217678
5.75503	-0.0217848
5.75503	-0.0218018
5.75503	-0.0218189
5.75503	-0.0218359
5.75504	-0.021853
5.75504	-0.0218701
5.75504	-0.0218872
5.75504	-0.0219044
5.75504	-0.0219215
5.75504	-0.0219387
5.75504	-0.0219559
5.75504	-0.0219732
5.75504	-0.0219904
5.75504	-0.0220077
5.75505	-0.022025
5.75505	-0.0220423
5.75505	-0.0220596
5.75505	-0.022077
5.75505	-0.0220944
5.75505	-0.0221118
5.75505	-0.0221292
5.75505	-0.0221467
5.75505	-0.0221641
5.75505	-0.0221816
5.75506	-0.0221991
5.75506	-0.0222167
5.75506	-0.0222342
5.75506	-0.0222518
5.75506	-0.0222694
5.75506	-0.0222871
5.75506	-0.0223047
5.75506	-0.0223224
5.75506	-0.0223401
5.75506	-0.0223578
5.75507	-0.0223756
5.75507	-0.0223933
5.75507	-0.0224111
5.75507	-0.0224289
5.75507	-0.0224468
5.75507	-0.0224646
5.75507	-0.0224825
5.75507	-0.0225004
5.75507	-0.0225183
5.75507	-0.0225363
5.75508	-0.0225542
5.75508	-0.0225722
5.75508	-0.0225903
5.75508	-0.0226083
5.75508	-0.0226264
5.75508	-0.0226445
5.75508	-0.0226626
5.75508	-0.0226807
5.75508	-0.0226989
5.75508	-0.022717
5.75509	-0.0227353
5.75509	-0.0227535
5.75509	-0.0227717
5.75509	-0.02279
5.75509	-0.0228083
5.75509	-0.0228266
5.75509	-0.022845
5.75509	-0.0228634
5.75509	-0.0228818
5.75509	-0.0229002
5.7551	-0.0229186
5.7551	-0.0229371
5.7551	-0.0229556
5.7551	-0.0229741
5.7551	-0.0229926
5.7551	-0.0230112
5.7551	-0.0230298
5.7551	-0.0230484
5.7551	-0.0230671
5.7551	-0.0230857
5.75511	-0.0231044
5.75511	-0.0231231
5.75511	-0.0231418
5.75511	-0.0231606
5.75511	-0.0231794
5.75511	-0.0231982
5.75511	-0.023217
5.75511	-0.0232359
5.75511	-0.0232548
5.75511	-0.0232737
5.75512	-0.0232926
5.75512	-0.0233116
5.75512	-0.0233306
5.75512	-0.0233496
5.75512	-0.0233686
5.75512	-0.0233877
5.75512	-0.0234067
5.75512	-0.0234259
5.75512	-0.023445
5.75512	-0.0234642
5.75513	-0.0234833
5.75513	-0.0235025
5.75513	-0.0235218
5.75513	-0.023541
5.75513	-0.0235603
5.75513	-0.0235796
5.75513	-0.023599
5.75513	-0.0236183
5.75513	-0.0236377
5.75513	-0.0236571
5.75514	-0.0236766
5.75514	-0.023696
5.75514	-0.0237155
5.75514	-0.0237351
5.75514	-0.0237546
5.75514	-0.0237742
5.75514	-0.0237938
5.75514	-0.0238134
5.75514	-0.023833
5.75514	-0.0238527
5.75515	-0.0238724
5.75515	-0.0238921
5.75515	-0.0239119
5.75515	-0.0239317
5.75515	-0.0239515
5.75515	-0.0239713
5.75515	-0.0239912
5.75515	-0.024011
5.75515	-0.024031
5.75515	-0.0240509
5.75516	-0.0240709
5.75516	-0.0240909
5.75516	-0.0241109
5.75516	-0.0241309
5.75516	-0.024151
5.75516	-0.0241711
5.75516	-0.0241912
5.75516	-0.0242114
5.75516	-0.0242316
5.75516	-0.0242518
5.75517	-0.024272
5.75517	-0.0242923
5.75517	-0.0243125
5.75517	-0.0243329
5.75517	-0.0243532
5.75517	-0.0243736
